"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         135,      -2.218706798,      0.8584480009,      0.7310315929,       3.634883716,       2.004279378,       4.232849023
          0,           0,         136,      -2.282169672,       0.647256283,      0.7962638277,       3.574898154,       2.033478437,       4.314393577
          0,           0,         137,      -2.204200713,       0.867490502,      0.8534512684,       3.667512802,       2.066692269,       4.440603849
          0,           0,         138,       -2.13753297,      0.9602983764,      0.8693836745,       3.749058326,       2.106932204,       4.598014158
          0,           0,         139,      -2.127477982,      0.9726990927,      0.8915419155,       3.763379102,       2.068172281,       4.645128222
          0,           0,         140,       -2.15446583,      0.9021538034,      0.8696598954,       3.730445276,       2.052857905,       4.498214752
          0,           0,         141,      -2.176115661,      0.8735172884,      0.7982218163,       3.700427896,       2.049884095,         4.0580898
          0,           0,         142,      -2.219751466,      0.7899380507,      0.6252148774,       3.630851627,        2.07048886,       3.857550133
          0,           0,         143,      -2.254165463,      0.6596023287,      0.7035415399,       3.599688336,       2.094753915,       3.918571605
          0,           0,         144,      -2.253379428,      0.6740435672,      0.7651663215,       3.596971651,       2.123743035,       4.260062226
          0,           0,         145,      -2.242036521,       0.694631879,       0.831063467,       3.619074763,       2.157752588,       4.371772198
          0,           0,         146,      -2.199094103,      0.8258908406,      0.8804356274,       3.670210604,       2.197158613,       4.428916145
          0,           0,         147,      -2.140242712,      0.9116087445,      0.8981035597,       3.736011514,       2.160652329,       4.405956451
          0,           0,         148,      -2.150058418,      0.9116027907,      0.8327124499,       3.711787554,       2.146892228,       4.249130526
          0,           0,         149,      -2.195459573,      0.7327934597,      0.7175036306,       3.654684517,        2.14494449,       3.921568256
          0,           0,         150,      -2.170701981,      0.8245719269,      0.6524950727,       3.680978565,       2.165239804,       4.050922603
          0,           0,         151,      -2.158440278,      0.8612597917,      0.7083687595,       3.697156927,       2.188615856,       3.911648471
          0,           0,         152,      -2.149256919,      0.8856425621,      0.8030043824,       3.697148911,       2.216182457,       4.274454162
          0,           0,         153,      -2.138224755,      0.9169257371,      0.8772300545,       3.724658414,       2.204932977,       4.111023816
          0,           0,         154,      -2.160961322,      0.8136656913,      0.7066450643,       3.695886591,       2.202960701,       3.721030144
          0,           0,         155,      -2.161702279,      0.8158789568,      0.7052274594,       3.687113486,       2.220229095,       3.879031916
          0,           0,         156,      -2.170400077,      0.7557100629,      0.7303143034,       3.684976332,       2.238089714,       4.054719499
          0,           0,         157,      -2.147204325,      0.8484047858,      0.8057754832,       3.704652776,       2.260052713,       4.235966447
          0,           0,         158,      -2.127861547,      0.8975258883,      0.8661953261,       3.725627959,       2.249032061,       3.858643917
          0,           0,         159,      -2.134539978,      0.8540677019,       0.727120004,       3.715782192,       2.247207423,       3.682517195
          0,           0,         160,      -2.150467044,      0.7926604701,      0.7196976268,       3.701125671,       2.261869525,       3.378392321
          0,           0,         161,      -2.138271853,      0.8153646155,      0.7285981036,       3.711076423,       2.278946672,       3.991948088
          0,           0,         162,      -2.137228004,      0.8197050124,       0.785177621,       3.715372159,       2.275876506,       3.664070757
          0,           0,         163,      -2.121967562,      0.8698095363,      0.7177888182,       3.728422123,        2.28275469,       3.624660367
          0,           0,         164,      -2.119787177,      0.8474637781,      0.6522618683,       3.728774107,       2.291665903,       3.575613793
          0,           0,         165,      -2.128609055,       0.808598859,      0.7349107573,       3.720524605,       2.300353647,       3.603669103
          0,           0,         166,      -2.123415679,      0.8170275348,      0.7152602951,       3.725534105,       2.308687897,       3.532587631
          0,           0,         167,      -2.118821235,      0.8202516361,       0.680832667,       3.730555784,       2.316696232,       3.610237748
          0,           0,         168,       -2.11199249,      0.8415296374,      0.6907407267,       3.741672627,       2.324413738,       3.539322316
          0,           0,         169,      -2.105080084,      0.8496528951,       0.710434885,       3.746697291,       2.331881366,       3.518655791
          0,           0,         170,      -2.102256714,      0.8512030911,      0.7079987978,       3.749094331,       2.339110966,       3.423356293
          0,           0,         171,      -2.097104747,      0.8537530046,      0.7003391825,       3.755832673,       2.346142412,       3.387294304
          0,           0,         172,      -2.093614619,      0.8554064458,      0.7115706141,       3.758207639,       2.353009875,       3.468699572
          0,           0,         173,      -2.088043945,      0.8600981983,      0.7228557489,       3.763465535,       2.359736965,       3.470715712
          0,           0,         174,       -2.08423172,      0.8638980186,      0.7211947845,       3.768941122,       2.366338871,        3.47588023
          0,           0,         175,      -2.076738317,      0.8691878747,      0.7194309087,       3.777378598,       2.372834275,       3.480264809
          0,           0,         176,      -2.074212423,      0.8737199279,      0.7277176204,        3.77752173,       2.379249306,       3.487521545
          0,           0,         177,       -2.06996193,      0.8750684362,      0.7353749306,        3.78331579,       2.385602778,       3.465344127
          0,           0,         178,      -2.065388351,      0.8795345308,      0.7349920133,       3.786632504,       2.391902729,        3.34939268
          0,           0,         179,      -2.059785127,      0.8862432736,       0.734411088,       3.792381954,       2.398158574,       3.360684621
          0,           0,         180,      -2.054451503,      0.8981628663,      0.7421264836,       3.798211208,       2.404394486,       3.364772115
          0,           0,         181,      -2.048917102,      0.9040385042,      0.7470908945,       3.805890689,       2.410549467,       3.431002636
          0,           0,         182,      -2.047951138,      0.8905455105,      0.7483872008,       3.803916913,       2.416651524,       3.292483514
          0,           0,         183,      -2.045015715,      0.8901026038,      0.7510163265,       3.804885598,       2.422753684,        3.06998313
          0,           0,         184,       -2.03977711,      0.8994003376,      0.7566034323,       3.812436231,        2.42887259,       3.293136566
          0,           0,         185,      -2.034874233,      0.9058632234,      0.7587315758,        3.81739583,       2.435022738,       3.212046433
          0,           0,         186,      -2.029129355,      0.9214100266,      0.7614722531,       3.822930403,       2.441209013,       3.394255987
          0,           0,         187,      -2.023481948,      0.9271225539,      0.7653427666,       3.831042611,       2.447434443,       3.362402678
          0,           0,         188,      -2.022525925,      0.9220910173,       0.769219196,       3.829357855,        2.45369972,       3.303692424
          0,           0,         189,      -2.018681657,      0.9237133549,      0.7737061516,       3.833167303,       2.460030126,       3.224499974
          0,           0,         190,      -2.012565303,      0.9389663976,      0.7762916246,       3.839875651,       2.466377742,       3.349974966
          0,           0,         191,      -2.007302407,      0.9451520141,      0.7782253833,       3.846931936,       2.472737177,       3.382353434
          0,           0,         192,      -2.005301772,      0.9414391131,      0.7838158603,        3.84724067,       2.479077032,        3.27553991
          0,           0,         193,      -2.001682982,      0.9438558314,      0.7888812338,       3.850325792,       2.485354586,       3.282548164
          0,           0,         194,      -1.995170772,      0.9576064039,      0.7917699848,       3.859152296,       2.491584823,       3.353066097
          0,           0,         195,        -1.9901479,      0.9633735234,      0.7926168306,       3.863655627,       2.497750801,       3.407269079
          0,           0,         196,      -1.987761955,      0.9558268529,      0.7994915096,       3.864474041,       2.503838773,       3.282148863
          0,           0,         197,      -1.983639119,       0.956665915,      0.8061733074,       3.869223815,       2.509842876,       3.170613808
          0,           0,         198,        -1.9779125,      0.9665521274,       0.808732397,       3.874683838,       2.515753102,       3.282380093
          0,           0,         199,      -1.972549575,       0.972699906,      0.8099363477,       3.880364225,       2.521593682,       3.283931227
          0,           0,         200,      -1.966619978,      0.9842957792,       0.817359756,       3.888015279,       2.527383472,       3.377040064
          0,           0,         201,      -1.961178072,      0.9898798361,       0.823194239,       3.893242173,       2.533139678,       3.415578376
          0,           0,         202,      -1.959329362,      0.9831859832,      0.8257496878,       3.892962499,       2.538865742,       3.310401291
          0,           0,         203,      -1.955202518,      0.9842497598,      0.8301315365,       3.897452388,       2.544557332,       3.121812151
          0,           0,         204,       -1.95029888,      0.9912676106,      0.8358379746,       3.901617871,        2.55022084,       3.253280751
          0,           0,         205,      -1.943930829,      0.9971725044,      0.8403829534,       3.909481409,       2.555862197,       3.243692074
          0,           0,         206,      -1.939309898,       1.008214658,      0.8439692242,       3.913878059,       2.561515926,       3.366218106
          0,           0,         207,      -1.934107193,       1.014233013,      0.8479766548,       3.920436836,       2.567156727,       3.376258947
          0,           0,         208,      -1.930401371,        1.01390888,      0.8534422274,       3.922618996,       2.572776206,       3.319901886
          0,           0,         209,      -1.925952232,       1.017269428,      0.8578811162,       3.926343038,       2.578379539,       3.276227163
          0,           0,         210,      -1.919935944,       1.027818612,      0.8622422811,       3.934090054,       2.583967028,       3.366357395
          0,           0,         211,      -1.914224444,       1.033881855,      0.8656606955,       3.939936683,        2.58954539,       3.454135553
          0,           0,         212,      -1.911405226,       1.028034535,      0.8717297636,       3.941444499,       2.595125363,       3.361491286
          0,           0,         213,      -1.907377297,        1.02936768,      0.8774039116,       3.945263788,       2.600684808,       3.131732646
          0,           0,         214,      -1.902203379,       1.033866725,      0.8812613166,       3.950104727,       2.606219604,         3.1865369
          0,           0,         215,      -1.897289161,       1.038032823,      0.8837430961,       3.954959558,       2.611710611,       3.188856984
          0,           0,         216,      -1.892263934,       1.042317661,      0.8901499487,       3.960909582,       2.617165711,       3.199723336
          0,           0,         217,      -1.887085695,       1.046700909,      0.8959494045,       3.965718202,       2.622302883,        3.18803638
          0,           0,         218,      -1.882397013,        1.05108187,      0.8995577052,       3.969982875,       2.626822895,       3.190842505
          0,           0,         219,      -1.877435152,       1.055458062,       0.902796442,       3.975586781,       2.631392933,       3.146523027
          0,           0,         220,      -1.872156408,       1.060168164,      0.9089104731,       3.980585971,       2.635995635,       3.200443509
          0,           0,         221,      -1.867187901,       1.065145354,       0.913754226,        3.98512017,       2.640648667,       3.204488005
          0,           0,         222,      -1.861739942,       1.071510028,      0.9181938266,       3.990790581,       2.645339853,       3.259730459
          0,           0,         223,      -1.856098229,       1.077732814,      0.9219826233,       3.997477873,        2.65005991,       3.318741893
          0,           0,         224,      -1.850480558,       1.086237014,      0.9276994857,       4.002618223,       2.654806061,       3.353748183
          0,           0,         225,      -1.844242204,       1.094449544,      0.9324775521,       4.010069329,       2.659576607,       3.532975532
          0,           0,         226,      -1.840882227,       1.090261964,      0.9371780778,       4.012863551,       2.664353654,       3.453346274
          0,           0,         227,       -1.83701827,       1.092620121,      0.9422555849,       4.016616858,       2.669166274,       3.141935839
          0,           0,         228,      -1.832491406,       1.096276401,      0.9469210339,       4.021761657,       2.674015063,       3.321007106
          0,           0,         229,      -1.826032513,       1.107967787,      0.9508217958,       4.028510842,       2.678905841,       3.437421588
          0,           0,         230,      -1.821141437,       1.112064948,        0.95619646,       4.033075562,       2.683827666,       3.218741585
          0,           0,         231,      -1.816565426,       1.111238959,      0.9621522042,       4.038224997,       2.688779496,       3.183780579
          0,           0,         232,      -1.812425021,        1.11384281,      0.9666432669,       4.041349876,       2.693744019,       3.285253103
          0,           0,         233,      -1.806855497,       1.121271063,      0.9707305633,        4.04713156,       2.698745757,       3.270439861
          0,           0,         234,      -1.801629243,       1.126466748,      0.9764211015,       4.053265481,       2.703778927,       3.182895782
          0,           0,         235,      -1.795981812,       1.134814329,      0.9816194514,       4.058683255,       2.708827095,       3.281888887
          0,           0,         236,       -1.79015557,       1.142693508,      0.9863869403,       4.064328455,       2.713878521,       3.447575914
          0,           0,         237,       -1.78648978,       1.140109966,      0.9907469532,       4.067521365,       2.718924254,       3.473024353
          0,           0,         238,      -1.781298487,       1.143561043,      0.9973387899,        4.07256185,       2.723975643,       3.368318147
          0,           0,         239,      -1.775911063,       1.147350456,       1.003047395,       4.078369418,       2.729039961,        3.34631717
          0,           0,         240,      -1.770313348,       1.156947365,       1.007461965,       4.084222811,       2.734110835,       3.463194105
          0,           0,         241,      -1.764863069,       1.161441847,       1.011830904,       4.089710394,        2.73918254,       3.422115936
          0,           0,         242,      -1.759760886,       1.166187817,       1.017852955,       4.094245985,       2.744274436,       3.402161934
          0,           0,         243,       -1.75470808,       1.169773513,       1.023453783,       4.099487944,       2.749350436,       3.342472794
          0,           0,         244,      -1.749051409,       1.175871503,       1.028201747,       4.105068236,       2.754417731,       3.389356006
          0,           0,         245,      -1.743801853,        1.18064368,       1.032553961,        4.11022168,       2.759471354,       3.383009278
          0,           0,         246,      -1.738675648,       1.184757374,        1.03853935,       4.115044457,       2.764491251,       3.379688673
          0,           0,         247,      -1.733464351,        1.18877337,       1.044007667,        4.12006126,       2.769387694,        3.38478705
          0,           0,         248,      -1.728135582,       1.193893539,       1.048816446,       4.125639627,       2.774231319,       3.396687864
          0,           0,         249,      -1.723047804,        1.19748069,       1.053511988,       4.130232559,       2.779080983,       3.399299405
          0,           0,         250,      -1.717732148,       1.202313799,       1.059494016,       4.135460384,       2.783918343,       3.357420266
          0,           0,         251,      -1.712309676,       1.207530911,       1.064720075,       4.141289748,       2.788739484,       3.411812845
          0,           0,         252,      -1.706751445,        1.21421005,       1.069754355,       4.146706299,       2.793542748,       3.434671663
          0,           0,         253,      -1.701050896,       1.221217362,        1.07448185,       4.152385037,       2.798319621,       3.533623357
          0,           0,         254,      -1.696874385,       1.220333389,       1.080508444,       4.156071094,       2.803087578,       3.451799612
          0,           0,         255,      -1.691798226,       1.223985655,       1.086277381,       4.160528587,       2.807831651,       3.176125426
          0,           0,         256,      -1.686781467,       1.227921669,       1.091066299,       4.165300717,       2.812557842,       3.362536617
          0,           0,         257,      -1.680556718,       1.237827579,       1.095519818,       4.171867435,       2.817259024,       3.524729491
          0,           0,         258,      -1.675453743,       1.241617887,       1.101568586,       4.176612828,       2.821881041,       3.246875681
