"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         109,      -1.109636824,       1.615653342,       1.070665665,       4.541396442
          0,           0,         110,      -1.109755434,          1.616661,       1.073967096,       4.541722519
          0,           0,         111,      -1.110747403,       1.616457553,       1.075178813,       4.540945595
          0,           0,         112,      -1.111855996,       1.616186672,       1.076306725,       4.540097968
          0,           0,         113,      -1.113091648,       1.615802906,       1.077293689,       4.539141037
          0,           0,         114,      -1.115057102,       1.614476073,       1.076773655,       4.537300516
          0,           0,         115,      -1.116884922,       1.613430126,       1.076746393,       4.535702923
          0,           0,         116,      -1.118731833,       1.612368609,       1.076732077,       4.534099237
          0,           0,         117,      -1.120620269,        1.61124064,       1.076658436,       4.532448425
          0,           0,         118,      -1.122560687,       1.610017349,       1.076482239,       4.530728318
          0,           0,         119,      -1.124555357,       1.608686371,       1.076173421,       4.528930567
          0,           0,         120,      -1.126519186,       1.607381858,       1.075953466,       4.527171493
          0,           0,         121,      -1.128565819,       1.605909612,       1.075482503,       4.525286134
          0,           0,         122,      -1.130681395,       1.604289293,       1.074761951,       4.523292214
          0,           0,         123,      -1.132853602,       1.602537986,       1.073793184,       4.521204881
          0,           0,         124,      -1.135073062,       1.600669349,       1.072574005,       4.519035983
          0,           0,         125,      -1.137241673,       1.598842684,       1.071362438,       4.516921687
          0,           0,         126,      -1.139480801,       1.596855806,       1.069811859,       4.514688163
          0,           0,         127,      -1.141776992,       1.594733463,       1.067942185,       4.512354395
          0,           0,         128,      -1.144119453,       1.592501391,       1.065768686,       4.509939434
          0,           0,         129,      -1.146501562,       1.590177535,       1.063303725,       4.507454817
          0,           0,         130,      -1.148134644,        1.58910999,       1.062794147,       4.506064084
          0,           0,         131,      -1.150144615,       1.587399419,       1.061286692,       4.504115684
          0,           0,         132,      -1.152512059,       1.585152461,         1.0587985,       4.501688398
          0,           0,         133,      -1.155218866,       1.582464384,        1.05541441,       4.498849601
          0,           0,         134,       -1.15825054,       1.579399814,       1.051243719,       4.495645131
          0,           0,         135,      -1.161437393,       1.576272352,       1.046863544,       4.492346378
          0,           0,         136,      -1.165008901,       1.572714932,       1.041709759,       4.488627519
          0,           0,         137,      -1.168943456,       1.568765432,       1.035875085,       4.484522835
          0,           0,         138,       -1.17322241,       1.564459659,       1.029430087,       4.480066328
          0,           0,         139,      -1.177832999,       1.559819999,       1.022421986,       4.475279102
          0,           0,         140,      -1.182609441,       1.555138279,        1.01542227,       4.470422785
          0,           0,         141,      -1.187795921,       1.549987762,       1.007732481,       4.465116487
          0,           0,         142,      -1.193369591,       1.544430607,      0.9994034817,       4.459408019
          0,           0,         143,      -1.199322247,       1.538492629,      0.9904745663,       4.453311049
          0,           0,         144,       -1.20565628,        1.53219872,       0.980966017,       4.446838657
          0,           0,         145,      -1.212260108,       1.525829923,      0.9714424774,       4.440230621
          0,           0,         146,        -1.2193996,        1.51890707,      0.9611033893,       4.433054876
          0,           0,         147,      -1.227070216,       1.511458208,      0.9499897817,       4.425333672
          0,           0,         148,      -1.235273933,       1.503501004,      0.9381252744,       4.417080957
          0,           0,         149,      -1.244025253,       1.495016225,      0.9255093715,       4.408276876
          0,           0,         150,      -1.253279989,       1.486244349,      0.9127125687,       4.399119338
          0,           0,         151,       -1.26328439,       1.476701321,      0.8987983989,        4.38917499
          0,           0,         152,      -1.274048481,        1.46640045,      0.8837719026,       4.378444463
          0,           0,         153,      -1.285594393,       1.455375046,       0.867630993,       4.366940973
          0,           0,         154,       -1.29796231,       1.443607461,      0.8503644424,       4.354630344
          0,           0,         155,       -1.31124642,       1.431239753,      0.8325758862,       4.341592849
          0,           0,         156,      -1.325661553,       1.417814743,      0.8132166251,       4.327415394
          0,           0,         157,      -1.341259105,       1.403321023,      0.7922629977,       4.312075096
          0,           0,         158,      -1.358096834,       1.387714761,       0.769729197,       4.295525329
          0,           0,         159,      -1.376232084,       1.370978077,      0.7456047604,       4.277744703
          0,           0,         160,      -1.395931166,       1.353083344,      0.7205744807,       4.258654336
          0,           0,         161,      -1.425001288,        1.32525118,      0.6767093332,       4.229455699
          0,           0,         162,      -1.465445225,       1.286642696,      0.6132268844,       4.188956919
          0,           0,         163,      -1.520225953,       1.235378302,      0.5300598254,       4.134970219
          0,           0,         164,      -1.596594715,       1.164891504,      0.4215542922,       4.060702437
          0,           0,         165,      -1.712615175,       1.057847265,      0.2703729449,       3.948572262
          0,           0,         166,      -1.889266463,      0.8936158546,     0.04063307496,       3.778218415
          0,           0,         167,      -2.170418659,      0.6280178135,     -0.2871293667,       3.506151672
          0,           0,         168,      -2.608591368,       0.206049228,     -0.7638552687,       3.079350199
          0,           0,         169,      -3.250669024,     -0.4183048488,       -1.35671797,        2.45299294
          0,           0,         170,      -3.981097714,      -1.143819424,      -1.871743739,       1.722830493
          0,           0,         171,      -4.542116645,      -1.734702303,      -2.457406383,        1.12893237
          0,           0,         172,      -5.190330582,      -2.391302841,       -3.16536735,      0.4737064193
          0,           0,         173,      -5.927061371,      -3.130293712,      -3.936059567,     -0.2641443388
          0,           0,         174,      -6.726492885,      -3.930729708,      -4.750676779,      -1.063964851
          0,           0,         175,      -7.572031284,      -4.776819858,      -5.593590126,       -1.91003043
          0,           0,         176,      -8.450385488,      -5.655047731,       -6.45079022,       -2.78911134
          0,           0,         177,       -9.34333723,      -6.546374351,       -7.30701663,      -3.682503153
          0,           0,         178,      -10.22146917,      -7.421209219,      -8.149642619,      -4.559691701
          0,           0,         179,      -11.04463046,      -8.241693541,      -8.972252919,      -5.379165851
          0,           0,         180,      -11.76825001,      -8.964064178,      -9.771923769,      -6.096692266
          0,           0,         181,      -12.39253634,      -9.585277054,      -10.53743791,      -6.715934327
