# x, curve, Cp
7.700000000000000178e-01,6.961352386273567117e-02,1.462894889988547720e-01
7.800000000000000266e-01,7.032794192004102052e-02,1.448684817149655524e-01
7.900000000000000355e-01,7.103532724176078728e-02,1.434328942069369728e-01
8.000000000000000444e-01,7.173560908995228746e-02,1.419828671429061995e-01
8.100000000000000533e-01,7.242871743701426168e-02,1.405185427210207672e-01
8.200000000000000622e-01,7.311458297268959294e-02,1.390400646577774901e-01
8.300000000000000711e-01,7.379313711099627637e-02,1.375475781761307803e-01
8.399999999999999689e-01,7.446431199708593296e-02,1.360412299933652092e-01
8.499999999999999778e-01,7.512804051402927064e-02,1.345211683087567667e-01
8.599999999999999867e-01,7.578425628952770166e-02,1.329875427909615881e-01
8.699999999999999956e-01,7.643289370255051951e-02,1.314405045652122794e-01
