Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
64,1.55192,1.15949e+06,2.70376,1547.91,147.233,0,1554.9,0.313271,0.0308172,0,0.314783,152219,0.366099,341.758,997.415,94.8716,0,1001.92
65,1.54775,1.15653e+06,2.7062,1544.46,145.342,0,1551.28,0.344609,0.0337829,0,0.346261,151647,0.361984,341.391,997.876,93.9054,0,1002.28
66,1.54314,1.15327e+06,2.70891,1540.64,143.281,0,1547.29,0.37595,0.0367157,0,0.377739,151016,0.357442,340.986,998.383,92.8503,0,1002.69
67,1.53811,1.1497e+06,2.71187,1536.47,141.055,0,1542.93,0.407295,0.0396127,0,0.409217,150328,0.352494,340.543,998.935,91.7067,0,1003.14
68,1.53267,1.14585e+06,2.71508,1531.95,138.669,0,1538.21,0.438643,0.0424712,0,0.440695,149586,0.347156,340.063,999.53,90.4754,0,1003.62
69,1.52684,1.14172e+06,2.71854,1527.1,136.129,0,1533.15,0.469995,0.0452882,0,0.472172,148791,0.34144,339.548,1000.17,89.1571,0,1004.13
70,1.52063,1.13732e+06,2.72223,1521.91,133.44,0,1527.75,0.501351,0.0480611,0,0.50365,147946,0.33536,338.998,1000.84,87.7528,0,1004.68
71,1.51405,1.13265e+06,2.72617,1516.41,130.607,0,1522.02,0.532711,0.0507871,0,0.535127,147052,0.328926,338.414,1001.56,86.2634,0,1005.27
72,1.5071,1.12772e+06,2.73034,1510.59,127.636,0,1515.97,0.564076,0.0534635,0,0.566604,146110,0.322151,337.796,1002.31,84.6899,0,1005.89
73,1.4998,1.12254e+06,2.73474,1504.46,124.534,0,1509.61,0.595445,0.0560877,0,0.59808,145122,0.315047,337.145,1003.11,83.0333,0,1006.54
74,1.49217,1.11712e+06,2.73937,1498.03,121.305,0,1502.94,0.626818,0.058657,0,0.629556,144091,0.307626,336.462,1003.93,81.2949,0,1007.22
75,1.4842,1.11146e+06,2.74422,1491.31,117.958,0,1495.97,0.658196,0.0611691,0,0.661032,143017,0.299902,335.748,1004.79,79.4758,0,1007.93
