# x, curve
2.939999999999999947e+00,2.002299847217705459e-02
2.950000000000000178e+00,1.904226473610270629e-02
2.959999999999999964e+00,1.805962678942329286e-02
2.970000000000000195e+00,1.707518289511453236e-02
2.979999999999999982e+00,1.608903149674557539e-02
2.990000000000000213e+00,1.510127120863438525e-02
3.000000000000000000e+00,1.411200080598672135e-02
3.010000000000000231e+00,1.312131921501837918e-02
3.020000000000000018e+00,1.212932550306297652e-02
3.030000000000000249e+00,1.113611886866495981e-02
3.040000000000000036e+00,1.014179863166018644e-02
3.050000000000000266e+00,9.146464223243675265e-03
3.060000000000000053e+00,8.150215176026912381e-03
3.070000000000000284e+00,7.153151114084326141e-03
3.080000000000000071e+00,6.155371742991314933e-03
3.089999999999999858e+00,5.156976839853464299e-03
3.100000000000000089e+00,4.158066243329048943e-03
3.109999999999999876e+00,3.158739843645389910e-03
3.120000000000000107e+00,2.159097572609596036e-03
3.129999999999999893e+00,1.159239393615827491e-03
3.140000000000000124e+00,1.592652916486828388e-04
