[Name]
Series 1 at /POLYLINE:Polyline 1

[Data]
X [ m ],Pressure Coefficient
-2.90098667e+00, -3.60332988e-02
-2.90550518e+00, -3.20576504e-02
-2.91212130e+00, -2.55910791e-02
-2.91851282e+00, -2.77879983e-02
-2.92375159e+00, -2.84079444e-02
-2.93076420e+00, -2.85334550e-02
-2.93530607e+00, -2.69126948e-02
-2.94261289e+00, -2.51074508e-02
-2.94471383e+00, -2.50597987e-02
-2.94643235e+00, -2.50070840e-02
-2.95363069e+00, -2.47033462e-02
-2.95739651e+00, -2.46609319e-02
-2.96433306e+00, -2.42183544e-02
-2.96804190e+00, -2.33725607e-02
-2.97425175e+00, -2.53095012e-02
-2.97838569e+00, -2.32101660e-02
-2.98356080e+00, -1.90837570e-02
-2.98890185e+00, -2.03080457e-02
-2.99284267e+00, -2.08996683e-02
-2.99851465e+00, -2.33543981e-02
-3.00249720e+00, -1.89658664e-02
-3.00733328e+00, -1.12043545e-02
-3.01294065e+00, -1.41369514e-02
-3.01539779e+00, -1.72710177e-02
-3.01659703e+00, -1.86338983e-02
-3.02175045e+00, -1.87696107e-02
-3.02676845e+00, -1.61610506e-02
-3.03161359e+00, -1.52312312e-02
-3.03641963e+00, -1.23415831e-02
-3.04131150e+00, -1.06241964e-02
-3.04616690e+00, -7.34508876e-03
-3.05094481e+00, -7.86074623e-03
-3.05570984e+00, -5.50139230e-03
-3.06042385e+00, -5.09000942e-03
-3.06510305e+00, -6.26434106e-03
-3.06944895e+00, -1.22257816e-02
-3.07263756e+00, -8.49834830e-03
-3.07578850e+00, -1.80630351e-03
-3.08026361e+00, -4.75993333e-03
-3.08405256e+00, -6.50997739e-03
-3.08670306e+00, -2.79390579e-03
-3.09089136e+00, -1.98363932e-03
-3.09420729e+00, 8.77303537e-05
-3.09689236e+00, 3.36149777e-03
-3.10066819e+00, -2.52347993e-04
-3.10362291e+00, 1.31190533e-03
-3.10634828e+00, 3.24820471e-03
-3.11001372e+00, 5.87260816e-03
-3.11162567e+00, 7.82418065e-03
-3.11220360e+00, 8.37954413e-03
-3.11580825e+00, 3.84936202e-03
-3.11932492e+00, 3.68279987e-03
-3.11962581e+00, 3.99422785e-03
-3.12123966e+00, 5.65350661e-03
-3.12376285e+00, 8.07416625e-03
-3.12674522e+00, 1.49990041e-02
-3.13026261e+00, 1.88267939e-02
-3.13357162e+00, 9.44488868e-03
-3.13592577e+00, 9.44185629e-03
-3.13822603e+00, 1.62891205e-02
-3.14118767e+00, 2.15275250e-02
-3.14406848e+00, 1.45379854e-02
-3.14640260e+00, 1.51440203e-02
-3.14805937e+00, 2.03351229e-02
-3.14842176e+00, 2.15673950e-02
-3.15108824e+00, 2.43488420e-02
-3.15383101e+00, 1.84937753e-02
-3.15574956e+00, 1.94530189e-02
-3.15775561e+00, 2.42016427e-02
-3.16024685e+00, 2.76768953e-02
-3.16254139e+00, 3.15374583e-02
-3.16296053e+00, 3.31650376e-02
-3.16421270e+00, 3.81984748e-02
